division,measure,wtp,ci_lo,ci_hi
BL1,WTP_observed,0.01610143725591716,-0.008324506536094678,0.040527381047928995
BL1,WTP_true,0.03744520292073757,-0.019359317525801573,0.09424972336727672
BL2,WTP_observed,0.03696369104855736,-0.00012625279512080439,0.07405363489223551
BL2,WTP_true,0.06845127971955066,-0.00023380147244593402,0.13713636091154724
