"label","n","coef","se","t","p","stars","ci_lo","ci_hi"
"BL1 — all matches",5744,0.000761179628410938,0.000588611961807245,1.29317730151771,0.203368733953185,"",-0.000392499816731262,0.00191485907355314
"BL1 — high fill (>85%)",3684,-5.78899125366386e-05,0.000213458493939745,-0.27119985467985,0.787705169251411,"",-0.000476268560658539,0.000360488735585262
"BL1 — mid fill (70-85%)",1055,0.000293518849789128,0.000356177269972854,0.82408080058421,0.416620105974004,"",-0.000404588599357666,0.000991626298935922
"BL1 — low fill (<70%)",983,0.00174787269533931,0.00145570766217175,1.20070309496873,0.239582388361455,"",-0.00110531432251731,0.00460105971319593
"BL2 — all matches",4580,0.00255327260760377,0.00130702408367351,1.95350081111555,0.0555894336808248,"*",-8.49459639631423e-06,0.00511503981160385
"BL2 — high fill (>85%)",1007,-0.000408782282020546,0.000428314326922877,-0.954397871669028,0.34561472577851,"",-0.00124827836278938,0.000430713798748292
"BL2 — mid fill (70-85%)",682,-0.00161689561436289,0.000629517821241797,-2.56846678490114,0.0140534907879503,"**",-0.00285075054399681,-0.00038304068472897
"BL2 — low fill (<70%)",2863,0.00383247207899386,0.00145713727357776,2.63013797566502,0.0110009082965484,"**",0.000976483022781444,0.00668846113520628
